id,name,streetaddress,latlng,postal,province,lic_status,citytown,lic_number,distance,tool_tip_id,lic_first_issue,lic_conditions,applicant_legal_name,app_streetaddress,app_streetaddress2,app_unitnumber,app_citytown,app_prov,app_postal,app_pci,phone,fax,website,email,primary_contact,management,lic_other_information,careservices,capacity,sprinklers_all,sprinklers_nsuites,sprinklers_locations,lic_conditions_details,documents,show_reports,revoked_w_notes,previously_known_as
6107de6812f72,Rosewood Village,711 Indian Road N.,"42.9823639,-82.376332",N7T 7Z5,null,Issued,Sarnia,S0126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,"[{""name"":""Rosewood Manor Retirement Home"",""until"":""December 21, 2017""}]"
6107de5567d12,Riverview Park Residence,595 Havelock Street S.,"43.7294753,-80.9654796",N4W 3T6,null,Issued,Listowel,S0519,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de630c6c2,Riverview Terrace,104 Brant Avenue,"43.1420214,-80.2731185",N3T 3H3,null,Issued,Brantford,S0460,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de675d636,Riverwood Senior Living,9 Evans Road  PO BOX 938,"44.1566354,-79.8686481",L9R 1M1,null,Issued,Alliston,T0243,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de662a819,Roberta Place Retirement Lodge,489 Essa Road,"44.3417515,-79.7080849",L4N 9E4,null,Issued,Barrie,N0121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de54a1228,Robertson House,1 Mill Hill Road,"45.3173125,-75.843123",K2H 9L6,null,Issued,Nepean,N0548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de572e561,Rosedale Retirement Residence,12 William Street,"43.6912584,-79.7658124",L6V 1L2,null,Issued,Brampton,T0408,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de6521a2a,Roseglen Village,53 Wellington Street,"43.9660922,-78.2872487",L1A 2M5,null,Issued,Port Hope,T0575,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de67686b8,Rosewood Erie Glen,119 Robson Road,"42.0262512,-82.5911108",N8H 3V4,null,Issued,Leamington,S0437,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de53a3d39,Rosewood Retirement Residence,833 Sutton Mills Court,"44.2550382,-76.5751311",K7P 2N9,null,Issued,Kingston,N0458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de648c153,Rosewood Senior Living Inc.,121 Colborne Street S.,"42.8343358,-80.3049885",N3Y 4H4,null,Issued,Simcoe,N0446,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de534c6c3,Parkland on Eglinton West,4650 Eglinton West,"43.6783552,-79.5463125",M9A 0E3,null,Issued,Etobicoke,T0566,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de5a74c4a,Park Street Place,650 Park Street,"42.5848733,-82.186743",N0P 1M0,null,Issued,Dresden,S0447,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de633be66,Seasons Strathroy,3230 Napperton Drive,"42.9582649,-81.6493126",N7G 0C4,null,Issued,Strathroy,S0154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de56824ba,Lynwood Park Lodge,1 Eaton Street,"45.3267061,-75.8174939",K2H 9P1,null,Issued,Nepean,N0395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,[]
6107de65468b1,Livita Parkway Retirement Residence,1645 Pickering Parkway,"43.8406578,-79.0727918",L1V 7E9,null,Issued,Pickering,T0585,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,[],null,null,"[{""name"":""Chartwell Parkway Retirement Residence"",""until"":""November 30, 2020""}]"
